Consignee,ContainerType,ShipmentType,OriginService,DestinationService,ETD,Measurement,OriginCountry,DestinationCountry
NIK   ,DRY ,OCE,CFS,CFS,2014-01-20,0.0000000000,MY,PP
NIK   ,TRAI,IEL,CFS,CY ,2014-03-04,2.8800000000,CN,GH
NIK   ,DRY ,IEL,CFS,CY ,2014-01-14,23.9600000000,CN,BK
NIK   ,DRY ,OCE,CFS,CY ,2014-01-11,0.0000000000,CN,PP
NIK   ,HIGH,IEL,CFS,CY ,2014-01-14,66.7000000000,CN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-01-14,67.7100000000,CN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-01-14,67.9200000000,CN,AA
NIK   ,DRY ,IEL,CFS,CY ,2014-01-14,57.5300000000,CN,AA
NIK   ,DRY ,IEL,CFS,CY ,2014-01-14,56.6000000000,CN,AA
NIK   ,AIR ,AIR,CFS,CY ,2014-03-07,0.2820000000,MY,VS
NIK   ,DRY ,IEL,CFS,CY ,2014-03-10,57.9900000000,VN,XB
NIK   ,HIGH,IEL,CFS,CY ,2014-03-10,70.2400000000,VN,XB
NIK   ,HIGH,IEL,CFS,CY ,2014-03-10,70.8600000000,VN,XB
NIK   ,HIGH,IEL,CFS,CY ,2014-03-10,70.9200000000,VN,XB
NIK   ,HIGH,IEL,CFS,CY ,2014-03-10,70.4400000000,VN,XB
NIK   ,HIGH,IEL,CFS,CY ,2014-03-10,79.8400000000,VN,BK
NIK   ,DRY ,IEL,CFS,CY ,2014-03-09,28.0700000000,VN,KL
NIK   ,HIGH,IEL,CFS,CY ,2014-03-09,76.8700000000,VN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-03-09,77.9700000000,VN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-03-09,77.8200000000,VN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-03-09,80.0200000000,VN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-03-09,78.5200000000,VN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-03-09,80.7500000000,VN,AA
NIK   ,HIGH,IEL,CFS,CY ,2014-03-10,70.9000000000,VN,EE
NIK   ,HIGH,IEL,CFS,CY ,2014-03-10,70.4900000000,VN,EE
NIK   ,HIGH,IEL,CFS,CY ,2014-03-10,69.8600000000,VN,EE
NIK   ,AIR ,AIR,CFS,CY ,2014-03-07,0.6600000000,MY,AA
NIK   ,AIR ,AIR,CFS,CY ,2014-03-04,6.2600000000,CN,AA
NIK   ,AIR ,AIR,CFS,CFS,2014-02-15,0.3900000000,IT,DW
NIK   ,AIR ,AIR,CFS,CFS,2014-02-19,1.1200000000,IT,H2
NIK   ,AIR ,AIR,CFS,CFS,2014-02-20,2.5300000000,IT,XB
NIK   ,AIR ,AIR,CFS,CFS,2014-02-19,1.1800000000,IT,H2
NIK   ,HIGH,IEL,CFS,CFS,2014-03-09,7.4210000000,ID,KL
NIK   ,HIGH,IEL,CFS,CY ,2014-03-08,78.8900000000,ID,AA
NIK   ,AIR ,AIR,CFS,CY ,2014-03-05,0.1500000000,LK,VS
NIK   ,DRY ,IEL,CFS,CFS,2014-03-10,4.5980000000,PK,NL
NIK   ,DRY ,OCE,CFS,CY ,2014-03-11,5.2200000000,EG,Z6
NIK   ,DRY ,IEL,CFS,CFS,2014-02-19,5.1000000000,LK,KL
NIK   ,AIR ,AIR,CFS,CY ,2014-03-11,0.3600000000,LK,AA
NIK   ,HIGH,IEL,CFS,CFS,2014-03-10,0.0000000000,ID,PP
NIK   ,HIGH,IEL,CFS,CFS,2014-03-10,0.0000000000,ID,PP
NIK   ,DRY ,IEL,CFS,CFS,2014-01-04,0.0000000000,CN,PP
NIK   ,DRY ,IEL,CFS,CFS,2014-01-04,0.0000000000,CN,PP
NIK   ,HIGH,IEL,CFS,CY ,2014-01-29,65.2100000000,MY,PT
