Consignee,ContainerType,ShipmentType,OriginService,DestinationService,ETD,Measurement,OriginCountry,DestinationCountry
Customer1   ,DRY ,OCE,CFS,CY ,11/01/2014,0,CN,MY
Customer1   ,HIGH,IEL,CFS,CY ,11/01/2014,60.53,VN,SE
Customer1   ,HIGH,IEL,CFS,CY ,11/01/2014,65.8,VN,CN
Customer1   ,HIGH,IEL,CFS,CY ,11/01/2014,68.82,VN,CN
Customer1   ,HIGH,IEL,CFS,CY ,11/01/2014,70.47,VN,CN
Customer1   ,HIGH,IEL,CFS,CY ,11/01/2014,71.19,VN,CN
Customer1   ,HIGH,IEL,CFS,CY ,11/01/2014,71.02,VN,CN
Customer1   ,AIR ,AIR,CFS,CFS,10/01/2014,0,CN,MY
Customer1   ,DRY ,IEL,CFS,CY ,11/01/2014,21.81,TH,GB
Customer1   ,AIR ,AIR,CFS,CY ,10/01/2014,0.057,SG,NL
Customer1   ,HIGH,IEL,CFS,CY ,10/01/2014,76.91,VN,GB
Customer1   ,TRAI,IEL,CFS,CY ,10/01/2014,4.72,CN,CN
Customer1   ,AIR ,AIR,CFS,CFS,11/01/2014,0.62,IT,CN
Customer1   ,AIR ,AIR,CFS,CFS,11/01/2014,0.48,IT,HK
Customer1   ,AIR ,AIR,CFS,CY ,10/01/2014,18.18,ID,GB
Customer1   ,AIR ,AIR,CFS,CY ,10/01/2014,0.186,VN,NL
Customer1   ,AIR ,AIR,CFS,CY ,11/01/2014,0.274,CN,BR
Customer1   ,TRAI,IEL,CFS,CY ,10/01/2014,2.862,CN,CN
Customer1   ,TRAI,IEL,CFS,CY ,10/01/2014,2.268,CN,CN
Customer1   ,AIR ,AIR,CFS,CY ,11/01/2014,0.351,CN,BR
Customer1   ,TRAI,IEL,CFS,CY ,10/01/2014,9.69,CN,CN
Customer1   ,TRAI,IEL,CFS,CY ,10/01/2014,2.799,CN,CN
Customer1   ,TRAI,IEL,CFS,CY ,10/01/2014,4.13,CN,CN
Customer1   ,TRAI,IEL,CFS,CY ,10/01/2014,8.501,CN,CN
Customer1   ,TRAI,IEL,CFS,CY ,10/01/2014,3.09,CN,CN
Customer1   ,TRAI,IEL,CFS,CY ,10/01/2014,4.989,CN,CN
Customer1   ,TRAI,IEL,CFS,CY ,10/01/2014,3.56,CN,CN
Customer1   ,TRAI,IEL,CFS,CY ,10/01/2014,6.222,CN,CN
Customer1   ,TRAI,IEL,CFS,CY ,10/01/2014,4.24,CN,CN
Customer1   ,TRAI,IEL,CFS,CY ,10/01/2014,3.522,CN,CN
Customer1   ,AIR ,AIR,CFS,CY ,10/01/2014,10.182,SG,BE
Customer1   ,TRAI,IEL,CFS,CY ,10/01/2014,3.53,CN,CN
Customer1   ,DRY ,IEL,CFS,CY ,11/01/2014,28.2,PK,BE
Customer1   ,DRY ,IEL,CFS,CY ,11/01/2014,55.982,PK,BE
Customer1   ,HIGH,IEL,CFS,CY ,07/04/2014,77.45,LK,BE
Customer1   ,AIR ,AIR,CFS,CY ,10/01/2014,0.69,TH,BE
Customer1   ,DRY ,IEL,CFS,CFS,11/01/2014,0,TH,MY
Customer1   ,DRY ,IEL,CFS,CFS,11/01/2014,0,TH,MY
Customer1   ,DRY ,IEL,CFS,CFS,11/01/2014,0,TH,MY
Customer1   ,DRY ,IEL,CFS,CFS,11/01/2014,0,TH,MY
Customer1   ,DRY ,IEL,CFS,CFS,11/01/2014,0,TH,MY
Customer1   ,AIR ,AIR,CFS,CY ,10/01/2014,4.776,SG,BE
Customer1   ,AIR ,AIR,CFS,CY ,10/01/2014,3.13,SG,BE
Customer1   ,AIR ,AIR,CFS,CY ,11/01/2014,15.462,VN,CN
Customer1   ,DRY ,IEL,CY ,CY ,16/04/2014,55.96,ID,JP
Customer1   ,AIR ,AIR,CFS,CY ,10/01/2014,0.068,SG,BE
Customer1   ,AIR ,AIR,CFS,CY ,10/01/2014,0.068,SG,NL
Customer1   ,HIGH,IEL,CFS,CY ,07/04/2014,76.73,LK,BE
Customer1   ,DRY ,IEL,CFS,CY ,07/04/2014,5.06,KH,AU
Customer1   ,AIR ,AIR,CFS,CY ,21/03/2014,0.41,CN,NZ
Customer1   ,AIR ,AIR,CFS,CY ,21/03/2014,4.03,CN,AU
